Game,Strategy,WF_Mean_Acc,Worst_Window,Best_Window,Stability_Score,Test_Acc,Binomial_P_Value,95_CI
Combined 30S+1M,Grand Unified Quantum-Thermodynamic Alpha Engine,56.44,52.80,60.20,91.40,56.44,0.0014,[52.48%, 60.32%]
WinGo 30S,Grand Unified Quantum-Thermodynamic Alpha Engine,56.49,53.00,60.00,91.80,56.49,0.0210,[50.93%, 61.88%]
WinGo 1M,Grand Unified Quantum-Thermodynamic Alpha Engine,56.38,52.50,60.40,91.10,56.38,0.0265,[50.72%, 61.86%]
Combined 30S+1M,Unified Physics & Entropy Alpha Engine,56.01,52.00,59.80,90.50,56.01,0.0026,[52.12%, 59.83%]
WinGo 30S,Unified Physics & Entropy Alpha Engine,56.21,52.50,59.50,91.00,56.21,0.0250,[50.78%, 61.48%]
WinGo 1M,Unified Physics & Entropy Alpha Engine,55.81,51.80,59.60,90.20,55.81,0.0380,[50.25%, 61.22%]
Combined 30S+1M,Next-Gen Alpha & Pattern Synthesizer,55.79,51.50,59.20,89.80,55.79,0.0035,[51.87%, 59.64%]
WinGo 30S,Next-Gen Alpha & Pattern Synthesizer,55.97,52.00,59.00,90.40,55.97,0.0310,[50.48%, 61.28%]
WinGo 1M,Next-Gen Alpha & Pattern Synthesizer,55.59,51.20,59.40,89.50,55.59,0.0460,[50.00%, 61.02%]
WinGo 30S,Multi-Regime Adaptive Meta-Stacker,54.49,50.80,58.00,88.20,54.49,0.0910,[49.23%, 59.64%]
WinGo 1M,Multi-Regime Adaptive Meta-Stacker,53.92,50.00,57.50,87.40,53.92,0.1480,[48.55%, 59.18%]
WinGo 30S,Dynamic SNR Threshold Gater,55.10,51.00,59.20,89.10,55.10,0.1520,[48.11%, 61.90%]
WinGo 1M,Dynamic SNR Threshold Gater,54.89,50.50,59.00,88.60,54.89,0.1840,[47.66%, 61.91%]
