game,period,number,is_big,big_small,color
WinGo_30S,20260901100051519,7,1,Big,green
WinGo_30S,20260901100051520,3,0,Small,green
WinGo_30S,20260901100051521,7,1,Big,green
WinGo_30S,20260901100051522,0,0,Small,"red,violet"
WinGo_30S,20260901100051523,3,0,Small,green
WinGo_30S,20260901100051524,4,0,Small,red
WinGo_30S,20260901100051525,2,0,Small,red
WinGo_30S,20260901100051526,7,1,Big,green
WinGo_30S,20260901100051527,0,0,Small,"red,violet"
WinGo_30S,20260901100051528,8,1,Big,red
WinGo_30S,20260901100051529,9,1,Big,green
WinGo_30S,20260901100051530,8,1,Big,red
WinGo_30S,20260901100051531,3,0,Small,green
WinGo_30S,20260901100051532,8,1,Big,red
WinGo_30S,20260901100051533,2,0,Small,red
WinGo_30S,20260901100051534,0,0,Small,"red,violet"
WinGo_30S,20260901100051535,0,0,Small,"red,violet"
WinGo_30S,20260901100051536,9,1,Big,green
WinGo_30S,20260901100051537,7,1,Big,green
WinGo_30S,20260901100051538,4,0,Small,red
WinGo_30S,20260901100051539,2,0,Small,red
WinGo_30S,20260901100051540,0,0,Small,"red,violet"
WinGo_30S,20260901100051541,0,0,Small,"red,violet"
WinGo_30S,20260901100051542,8,1,Big,red
WinGo_30S,20260901100051543,8,1,Big,red
WinGo_30S,20260901100051544,6,1,Big,red
WinGo_30S,20260901100051545,0,0,Small,"red,violet"
WinGo_30S,20260901100051546,5,1,Big,"green,violet"
WinGo_30S,20260901100051547,4,0,Small,red
WinGo_30S,20260901100051548,8,1,Big,red
WinGo_30S,20260901100051549,3,0,Small,green
WinGo_30S,20260901100051550,5,1,Big,"green,violet"
WinGo_30S,20260901100051551,3,0,Small,green
WinGo_30S,20260901100051552,7,1,Big,green
WinGo_30S,20260901100051553,2,0,Small,red
WinGo_30S,20260901100051554,5,1,Big,"green,violet"
WinGo_30S,20260901100051555,3,0,Small,green
WinGo_30S,20260901100051556,8,1,Big,red
WinGo_30S,20260901100051557,0,0,Small,"red,violet"
WinGo_30S,20260901100051558,5,1,Big,"green,violet"
WinGo_30S,20260901100051559,9,1,Big,green
WinGo_30S,20260901100051560,2,0,Small,red
WinGo_30S,20260901100051561,4,0,Small,red
WinGo_30S,20260901100051562,0,0,Small,"red,violet"
WinGo_30S,20260901100051563,0,0,Small,"red,violet"
WinGo_30S,20260901100051564,5,1,Big,"green,violet"
WinGo_30S,20260901100051565,3,0,Small,green
WinGo_30S,20260901100051566,9,1,Big,green
WinGo_30S,20260901100051567,2,0,Small,red
WinGo_30S,20260901100051568,4,0,Small,red
WinGo_30S,20260901100051569,0,0,Small,"red,violet"
WinGo_30S,20260901100051570,2,0,Small,red
WinGo_30S,20260901100051571,8,1,Big,red
WinGo_30S,20260901100051572,3,0,Small,green
